Scenario,Model,Correct,% Correct,Home Recall %,Draw Recall %,Away Recall %,Macro-F1,Balanced Acc,Log Loss (soft)
Premier League,Stacked (RFMeta),156,48.9,80.5,1.2,48.0,0.3703,0.432,1.0278
Premier League,Stacked (CatMeta),155,48.59,77.4,4.7,48.0,0.3884,0.4336,1.0355
Premier League,Stacked (MLPMeta),154,48.28,75.2,1.2,53.0,0.3718,0.4312,1.0297
Premier League,Stacked (XGBMeta),153,47.96,76.7,4.7,47.0,0.3856,0.4278,1.0307
Premier League,Hybrid (Linear SVM-Elo),152,47.65,78.2,0.0,48.0,0.3557,0.4207,1.0281
Premier League,Linear SVM,151,47.34,77.4,0.0,48.0,0.3536,0.4181,1.0326
Premier League,DrawThresh(0.40)+Random Forest,149,46.71,64.7,10.5,54.0,0.4085,0.4304,1.0434
Premier League,Hybrid (MLP-Elo),148,46.39,64.7,12.8,51.0,0.4102,0.4282,1.0474
Premier League,Hybrid (CatBoost-Elo),147,46.08,66.2,23.3,39.0,0.424,0.4281,1.0387
Premier League,CatBoost,146,45.77,63.2,27.9,38.0,0.4291,0.4302,1.0416
Premier League,Hybrid (LightGBM-Elo),145,45.45,54.1,24.4,52.0,0.4315,0.4352,1.0452
Premier League,LightGBM,144,45.14,52.6,26.7,51.0,0.4327,0.4346,1.0491
Premier League,Random Forest,142,44.51,59.4,14.0,51.0,0.404,0.4145,1.0434
Premier League,MLP,142,44.51,54.1,24.4,49.0,0.4221,0.4252,1.1225
Premier League,Hybrid (Random Forest-Elo),142,44.51,60.9,14.0,49.0,0.4011,0.4129,1.0393
Premier League,Hybrid (XGBoost-Elo),141,44.2,51.1,24.4,52.0,0.4229,0.4252,1.0502
Premier League,XGBoost,141,44.2,51.1,24.4,52.0,0.4229,0.4252,1.0502
Premier League,Logistic Regression,138,43.26,53.4,17.4,52.0,0.4007,0.4094,1.0487
Premier League,Hybrid (Logistic Regression-Elo),137,42.95,54.1,15.1,52.0,0.3932,0.4042,1.0471
Premier League,HistGBM,132,41.38,50.4,22.1,46.0,0.3949,0.3949,1.1254
Premier League,Hybrid (HistGBM-Elo),132,41.38,50.4,22.1,46.0,0.3948,0.3949,1.1202
La Liga,Stacked (RFMeta),172,55.48,84.1,6.4,49.4,0.4321,0.4663,0.961
La Liga,Linear SVM,171,55.16,86.8,0.0,49.4,0.3926,0.4538,0.9702
La Liga,Hybrid (Linear SVM-Elo),170,54.84,86.1,0.0,49.4,0.3905,0.4516,0.9704
La Liga,Stacked (MLPMeta),168,54.19,86.1,1.3,45.7,0.3926,0.4435,0.9703
La Liga,Stacked (XGBMeta),166,53.55,82.1,9.0,43.2,0.4278,0.4477,0.9845
La Liga,Hybrid (MLP-Elo),163,52.58,68.9,19.2,54.3,0.462,0.4748,1.0147
La Liga,Stacked (CatMeta),163,52.58,80.1,7.7,44.4,0.4189,0.4409,0.9657
La Liga,Hybrid (CatBoost-Elo),155,50.0,66.9,29.5,38.3,0.4517,0.4488,0.9724
La Liga,LightGBM,154,49.68,49.7,46.2,53.1,0.4872,0.4964,1.0139
La Liga,Hybrid (LightGBM-Elo),154,49.68,49.7,46.2,53.1,0.4872,0.4964,1.0133
La Liga,Hybrid (XGBoost-Elo),154,49.68,51.0,44.9,51.9,0.4856,0.4924,1.0146
La Liga,XGBoost,153,49.35,49.7,47.4,50.6,0.4848,0.4924,1.0166
La Liga,DrawThresh(0.37)+XGBoost,153,49.35,54.3,29.5,59.3,0.4649,0.4768,1.0166
La Liga,CatBoost,152,49.03,63.6,32.1,38.3,0.4516,0.4463,0.9728
La Liga,Hybrid (Random Forest-Elo),149,48.06,55.6,32.1,49.4,0.4525,0.4569,1.0037
La Liga,Random Forest,146,47.1,53.6,35.9,45.7,0.4478,0.4507,1.0066
La Liga,MLP,145,46.77,51.0,41.0,44.4,0.4497,0.4549,1.1093
La Liga,Logistic Regression,140,45.16,50.3,32.1,48.1,0.4299,0.4351,1.0239
La Liga,Hybrid (Logistic Regression-Elo),140,45.16,50.3,32.1,48.1,0.4299,0.4351,1.0239
La Liga,HistGBM,139,44.84,50.3,34.6,44.4,0.4281,0.4313,1.0721
La Liga,Hybrid (HistGBM-Elo),138,44.52,51.7,30.8,44.4,0.42,0.4229,1.0564
Serie A,Stacked (RFMeta),177,55.31,81.4,4.9,62.4,0.4473,0.4955,0.9691
Serie A,Hybrid (Linear SVM-Elo),177,55.31,82.2,2.4,63.3,0.4343,0.493,0.9672
Serie A,Linear SVM,176,55.0,82.2,2.4,62.4,0.4321,0.49,0.9671
Serie A,Stacked (XGBMeta),173,54.06,72.9,15.9,60.6,0.4811,0.4976,0.979
Serie A,Stacked (CatMeta),172,53.75,76.0,14.6,56.9,0.4731,0.4916,0.9772
Serie A,Hybrid (LightGBM-Elo),166,51.88,55.8,25.6,67.0,0.489,0.4947,0.9868
Serie A,Hybrid (Logistic Regression-Elo),166,51.88,51.2,34.1,66.1,0.5004,0.5045,0.9854
Serie A,Logistic Regression,166,51.88,51.2,34.1,66.1,0.5008,0.5045,0.9864
Serie A,Hybrid (MLP-Elo),165,51.56,65.9,14.6,62.4,0.4627,0.4764,0.9912
Serie A,Random Forest,163,50.94,58.9,20.7,64.2,0.4724,0.4796,0.9852
Serie A,LightGBM,162,50.62,53.5,25.6,66.1,0.4792,0.4838,0.988
Serie A,Hybrid (Random Forest-Elo),162,50.62,58.9,19.5,64.2,0.4671,0.4755,0.9841
Serie A,XGBoost,161,50.31,51.9,25.6,67.0,0.4768,0.4817,0.9994
Serie A,Hybrid (XGBoost-Elo),161,50.31,51.9,25.6,67.0,0.4768,0.4817,0.9994
Serie A,Stacked (MLPMeta),160,50.0,70.5,13.4,53.2,0.4447,0.4572,0.9886
Serie A,Hybrid (CatBoost-Elo),159,49.69,57.4,32.9,53.2,0.4816,0.4783,0.992
Serie A,CatBoost,158,49.38,56.6,36.6,50.5,0.4823,0.4788,0.9932
Serie A,MLP,158,49.38,50.4,35.4,58.7,0.4813,0.4816,1.0471
Serie A,DrawThresh(0.34)+XGBoost,157,49.06,45.7,50.0,52.3,0.4919,0.4934,0.9994
Serie A,HistGBM,152,47.5,52.7,20.7,61.5,0.4443,0.4497,1.0376
Serie A,Hybrid (HistGBM-Elo),152,47.5,52.7,20.7,61.5,0.4443,0.4497,1.0376
