iter	MultiClass
0	1.085384936
1	1.073779361
2	1.062992603
3	1.053906883
4	1.045387342
5	1.038126249
6	1.031073608
7	1.024896796
8	1.019183507
9	1.014113533
10	1.009410029
11	1.005102468
12	1.001072957
13	0.9976919074
14	0.9946544146
15	0.9916074996
16	0.9888618978
17	0.9866473032
18	0.9843291703
19	0.9821219972
20	0.9802720709
21	0.978422469
22	0.9767930006
23	0.9752013262
24	0.9737801903
25	0.9724261444
26	0.9711284515
27	0.9700356255
28	0.9690746003
29	0.9681172962
30	0.9670879306
31	0.9662316061
32	0.9654093744
33	0.9646715766
34	0.9640356237
35	0.9634186266
36	0.9628384793
37	0.9618826259
38	0.9613503912
39	0.9607994555
40	0.9601743173
41	0.9596269085
42	0.9590626134
43	0.9584073257
44	0.9578077195
45	0.9572747962
46	0.9568370548
47	0.9562956533
48	0.9559013818
49	0.9554810689
50	0.9550366968
51	0.9546945005
52	0.9542207674
53	0.9538644907
54	0.9536192337
55	0.9533495796
56	0.9529497547
57	0.9525471564
58	0.9522717076
59	0.9519533675
60	0.9517048177
61	0.9515245523
62	0.9512849453
63	0.9510130643
64	0.9507999942
65	0.9503265064
66	0.9499522838
67	0.9496962319
68	0.9493262778
69	0.9490481188
70	0.9487666742
71	0.9484699732
72	0.9481594128
73	0.9479589087
74	0.9477689406
75	0.9474604906
76	0.9471638627
77	0.9470620618
78	0.9467741159
79	0.9466455545
80	0.9463641403
81	0.9461966718
82	0.9459646069
83	0.9456717358
84	0.9452429654
85	0.9449752869
86	0.9447945917
87	0.9444453087
88	0.9442586704
89	0.9438979039
90	0.943604925
91	0.9434712445
92	0.9429681333
93	0.9426943537
94	0.9424781959
95	0.942260723
96	0.9420363787
97	0.9417773437
98	0.9414805732
99	0.9412453257
