iter	Passed	Remaining
0	3	317
1	5	293
2	9	291
3	11	283
4	15	285
5	17	280
6	22	294
7	27	314
8	30	304
9	32	296
10	37	299
11	40	298
12	43	291
13	46	284
14	49	278
15	52	276
16	56	276
17	59	271
18	62	265
19	65	261
20	68	256
21	70	251
22	73	246
23	76	242
24	79	237
25	81	233
26	84	229
27	87	225
28	90	221
29	93	219
30	96	215
31	99	211
32	102	207
33	105	204
34	108	201
35	110	197
36	113	193
37	115	189
38	118	185
39	121	181
40	124	178
41	126	175
42	129	171
43	131	167
44	134	164
45	136	160
46	139	156
47	141	153
48	143	149
49	146	146
50	148	142
51	151	139
52	153	136
53	156	133
54	160	130
55	162	127
56	164	124
57	167	121
58	169	118
59	172	114
60	174	111
61	177	108
62	179	105
63	181	102
64	184	99
65	186	96
66	189	93
67	191	90
68	194	87
69	197	84
70	199	81
71	202	78
72	205	75
73	207	72
74	209	69
75	212	66
76	214	64
77	216	61
78	219	58
79	221	55
80	224	52
81	227	49
82	230	47
83	232	44
84	235	41
85	237	38
86	239	35
87	242	33
88	244	30
89	247	27
90	249	24
91	251	21
92	254	19
93	256	16
94	258	13
95	261	10
96	263	8
97	266	5
98	268	2
99	271	0
