Team,Elo,Form,GD,Market_H,Market_D,Market_A
Alaves,1514.5495099446016,5,-2,2.0,3.4,3.5
Albacete,1410.787205892417,4,-2,2.0,3.4,3.5
Almeria,1394.8888937832864,7,3,2.0,3.4,3.5
Ath Bilbao,1603.2611432623653,7,-2,2.0,3.4,3.5
Ath Madrid,1716.9150859778129,12,4,2.0,3.4,3.5
Barcelona,1843.9079135149696,15,11,2.0,3.4,3.5
Betis,1628.2873799795098,3,-3,2.0,3.4,3.5
Cadiz,1475.0106457614193,7,-6,2.0,3.4,3.5
Celta,1593.0664247882744,7,1,2.0,3.4,3.5
Cordoba,1360.8700771138426,0,-15,2.0,3.4,3.5
Eibar,1452.9362214355601,7,0,2.0,3.4,3.5
Elche,1493.134983442534,4,-4,2.0,3.4,3.5
Espanol,1506.7976026614333,2,-4,2.0,3.4,3.5
Getafe,1548.403430379469,9,2,2.0,3.4,3.5
Gimnastic,1402.3258387149006,4,-7,2.0,3.4,3.5
Girona,1541.1291441856727,5,1,2.0,3.4,3.5
Granada,1385.4014429386636,0,-16,2.0,3.4,3.5
Hercules,1423.1030085644188,2,-4,2.0,3.4,3.5
Huesca,1476.3351186593009,7,0,2.0,3.4,3.5
La Coruna,1434.515272661313,2,-5,2.0,3.4,3.5
Las Palmas,1414.2638549313137,0,-6,2.0,3.4,3.5
Leganes,1510.8100487341499,10,2,2.0,3.4,3.5
Levante,1490.430521382871,8,1,2.0,3.4,3.5
Malaga,1392.520921352089,3,-6,2.0,3.4,3.5
Mallorca,1493.3247972153474,4,-3,2.0,3.4,3.5
Murcia,1391.3606816694744,1,-5,2.0,3.4,3.5
Numancia,1396.5892923130446,7,0,2.0,3.4,3.5
Osasuna,1575.9516853533107,7,-1,2.0,3.4,3.5
Oviedo,1461.0325102841216,4,-5,2.0,3.4,3.5
Real Madrid,1825.161461560046,9,3,2.0,3.4,3.5
Recreativo,1410.3349362049178,3,-3,2.0,3.4,3.5
Santander,1396.4417605679525,1,-7,2.0,3.4,3.5
Sevilla,1496.6040138277244,5,-4,2.0,3.4,3.5
Sociedad,1581.6187261149378,7,0,2.0,3.4,3.5
Sp Gijon,1445.4407498471953,8,0,2.0,3.4,3.5
Tenerife,1459.3409603323262,4,-5,2.0,3.4,3.5
Valencia,1564.2658229398567,9,2,2.0,3.4,3.5
Valladolid,1325.3044104510961,0,-7,2.0,3.4,3.5
Vallecano,1548.8382409516491,6,2,2.0,3.4,3.5
Villarreal,1711.6922738307057,10,1,2.0,3.4,3.5
Xerez,1472.0757654877439,7,-2,2.0,3.4,3.5
Zaragoza,1430.9702209863615,4,-4,2.0,3.4,3.5
