Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,HTHG,HTAG,HTR,PSH,PSD,PSA
SP1,2004-08-28,Ath Madrid,Malaga,2,0,H,1.72,3.25,4.33,,,,,,,1,0,H,,,
SP1,2004-08-28,Espanol,La Coruna,1,1,D,2.87,3.2,2.4,,,,,,,1,0,H,,,
SP1,2004-08-28,Numancia,Betis,1,1,D,2.5,3.2,2.5,,,,,,,1,1,D,,,
SP1,2004-08-29,Mallorca,Real Madrid,0,1,A,5.0,3.4,1.72,,,,,,,0,0,D,,,
SP1,2004-08-29,Osasuna,Ath Bilbao,1,1,D,2.3,3.2,2.7,,,,,,,1,1,D,,,
SP1,2004-08-29,Santander,Barcelona,0,2,A,5.0,3.4,1.72,,,,,,,0,0,D,,,
SP1,2004-08-29,Sevilla,Albacete,1,0,H,1.66,3.4,4.5,,,,,,,0,0,D,,,
SP1,2004-08-29,Sociedad,Levante,1,1,D,1.72,3.25,4.33,,,,,,,0,1,A,,,
SP1,2004-08-29,Zaragoza,Getafe,3,1,H,1.72,3.25,4.33,,,,,,,1,1,D,,,
SP1,2004-08-30,Valencia,Villarreal,2,1,H,1.61,3.4,5.0,,,,,,,2,0,H,,,
SP1,2004-09-11,Real Madrid,Numancia,1,0,H,1.2,6.0,13.0,,,,,,,1,0,H,,,
SP1,2004-09-11,Barcelona,Sevilla,2,0,H,1.444,4.0,7.5,,,,,,,1,0,H,,,
SP1,2004-09-11,Ath Bilbao,Valencia,2,2,D,2.7,3.2,2.3,,,,,,,2,0,H,,,
SP1,2004-09-12,Getafe,Mallorca,1,2,A,2.375,3.2,2.625,,,,,,,0,1,A,,,
SP1,2004-09-12,La Coruna,Osasuna,1,3,A,1.444,3.75,6.5,,,,,,,1,0,H,,,
SP1,2004-09-12,Levante,Santander,3,1,H,2.1,3.2,3.1,,,,,,,0,1,A,,,
