Scenario,Season,Model,Correct,% Correct,Home Recall %,Draw Recall %,Away Recall %,Macro-F1,Balanced Acc,Log Loss (soft)
Premier League,2022/23,Random Forest,78,60.47,68.9,27.3,63.6,0.5268,0.5328,0.9755
Premier League,2022/23,Hybrid (Random Forest-Elo),78,60.47,73.0,18.2,60.6,0.4988,0.5059,0.968
Premier League,2022/23,Linear SVM,77,59.69,78.4,0.0,57.6,0.4077,0.4532,0.932
Premier League,2022/23,Hybrid (Linear SVM-Elo),77,59.69,78.4,0.0,57.6,0.4077,0.4532,0.932
Premier League,2022/23,Stacked (CatMeta),76,58.91,75.7,4.5,57.6,0.4337,0.4593,0.9193
Premier League,2022/23,DrawThresh(0.33)+Linear SVM,76,58.91,75.7,4.5,57.6,0.4336,0.4593,0.932
Premier League,2022/23,Stacked (XGBMeta),76,58.91,75.7,9.1,54.5,0.4498,0.4644,0.915
Premier League,2022/23,Hybrid (CatBoost-Elo),75,58.14,68.9,36.4,48.5,0.5123,0.5126,0.9573
Premier League,2022/23,Stacked (MLPMeta),74,57.36,77.0,0.0,51.5,0.3928,0.4285,0.9284
Premier League,2022/23,Stacked (RFMeta),74,57.36,75.7,0.0,54.5,0.3906,0.4341,0.918
Premier League,2022/23,Hybrid (XGBoost-Elo),73,56.59,54.1,40.9,72.7,0.5261,0.559,1.0015
Premier League,2022/23,XGBoost,73,56.59,54.1,40.9,72.7,0.5261,0.559,1.0033
Premier League,2022/23,CatBoost,73,56.59,67.6,36.4,45.5,0.4972,0.498,0.9578
Premier League,2022/23,Hybrid (LightGBM-Elo),72,55.81,54.1,36.4,72.7,0.5133,0.5438,1.003
Premier League,2022/23,LightGBM,72,55.81,54.1,36.4,72.7,0.5133,0.5438,1.003
Premier League,2022/23,Hybrid (HistGBM-Elo),70,54.26,55.4,27.3,69.7,0.4845,0.5079,1.0133
Premier League,2022/23,Hybrid (MLP-Elo),69,53.49,60.8,22.7,57.6,0.4596,0.4704,1.0129
Premier League,2022/23,Logistic Regression,68,52.71,52.7,27.3,69.7,0.4748,0.4989,1.0303
Premier League,2022/23,HistGBM,68,52.71,52.7,27.3,69.7,0.4739,0.4989,1.0275
Premier League,2022/23,Hybrid (Logistic Regression-Elo),66,51.16,56.8,9.1,66.7,0.4169,0.4417,1.006
Premier League,2022/23,MLP,64,49.61,52.7,27.3,57.6,0.4424,0.4585,1.102
Premier League,2023/24,Random Forest,66,55.0,64.8,24.2,69.7,0.5103,0.5292,0.9751
Premier League,2023/24,Hybrid (Random Forest-Elo),66,55.0,64.8,24.2,69.7,0.5103,0.5292,0.9751
Premier League,2023/24,Stacked (MLPMeta),63,52.5,77.8,0.0,63.6,0.396,0.4714,0.9612
Premier League,2023/24,Stacked (RFMeta),63,52.5,75.9,0.0,66.7,0.3968,0.4753,0.9684
Premier League,2023/24,Hybrid (CatBoost-Elo),63,52.5,74.1,6.1,63.6,0.4306,0.4792,0.9652
Premier League,2023/24,CatBoost,62,51.67,59.3,36.4,54.5,0.4978,0.5006,0.9618
Premier League,2023/24,Hybrid (Linear SVM-Elo),62,51.67,75.9,0.0,63.6,0.3894,0.4652,0.9545
Premier League,2023/24,Stacked (CatMeta),62,51.67,70.4,0.0,72.7,0.3962,0.477,0.9766
Premier League,2023/24,Linear SVM,61,50.83,75.9,0.0,60.6,0.3833,0.4551,0.9541
Premier League,2023/24,DrawThresh(0.41)+Random Forest,61,50.83,66.7,3.0,72.7,0.4127,0.4747,0.9751
Premier League,2023/24,Hybrid (Logistic Regression-Elo),61,50.83,64.8,6.1,72.7,0.4216,0.4787,0.9708
Premier League,2023/24,Stacked (XGBMeta),59,49.17,70.4,3.0,60.6,0.3896,0.4467,0.9782
Premier League,2023/24,XGBoost,57,47.5,51.9,21.2,66.7,0.4444,0.4658,1.0032
Premier League,2023/24,Hybrid (HistGBM-Elo),56,46.67,55.6,15.2,63.6,0.4201,0.4478,1.0176
Premier League,2023/24,Logistic Regression,55,45.83,57.4,9.1,63.6,0.3996,0.4338,0.9814
Premier League,2023/24,Hybrid (MLP-Elo),55,45.83,55.6,9.1,66.7,0.3972,0.4377,1.0469
Premier League,2023/24,MLP,55,45.83,50.0,15.2,69.7,0.4182,0.4495,1.1409
Premier League,2023/24,Hybrid (XGBoost-Elo),55,45.83,55.6,9.1,66.7,0.4035,0.4377,0.9988
Premier League,2023/24,LightGBM,54,45.0,53.7,9.1,66.7,0.3962,0.4315,1.0025
Premier League,2023/24,HistGBM,54,45.0,44.4,24.2,66.7,0.4286,0.4512,1.1027
Premier League,2023/24,Hybrid (LightGBM-Elo),54,45.0,55.6,6.1,66.7,0.3858,0.4276,0.999
Premier League,2024/25,Linear SVM,220,53.66,83.2,0.0,56.2,0.4047,0.4649,0.9741
Premier League,2024/25,Stacked (RFMeta),220,53.66,86.2,2.0,51.4,0.4124,0.4655,0.9793
Premier League,2024/25,Hybrid (Linear SVM-Elo),220,53.66,83.8,0.0,55.6,0.403,0.4646,0.9732
Premier League,2024/25,Stacked (CatMeta),220,53.66,83.2,6.1,52.1,0.4358,0.4713,0.9779
Premier League,2024/25,Hybrid (CatBoost-Elo),217,52.93,80.2,12.1,49.3,0.4517,0.4722,0.9851
Premier League,2024/25,Hybrid (Random Forest-Elo),216,52.68,73.1,22.2,50.0,0.4795,0.4843,0.9818
Premier League,2024/25,Hybrid (MLP-Elo),216,52.68,74.3,12.1,55.6,0.4536,0.4731,0.9752
Premier League,2024/25,Random Forest,215,52.44,70.7,24.2,50.7,0.4832,0.4853,0.9831
Premier League,2024/25,Stacked (MLPMeta),214,52.2,85.6,8.1,43.8,0.4252,0.4582,0.9755
Premier League,2024/25,Hybrid (Logistic Regression-Elo),214,52.2,61.1,11.1,70.1,0.4526,0.4744,0.9753
Premier League,2024/25,CatBoost,212,51.71,71.9,27.3,45.1,0.4795,0.4809,0.994
Premier League,2024/25,Logistic Regression,212,51.71,61.1,11.1,68.8,0.4497,0.4698,0.9772
Premier League,2024/25,MLP,211,51.46,59.9,29.3,56.9,0.4867,0.4871,1.0383
Premier League,2024/25,DrawThresh(0.35)+Random Forest,210,51.22,64.7,30.3,50.0,0.486,0.4832,0.9831
Premier League,2024/25,Stacked (XGBMeta),210,51.22,80.8,8.1,46.5,0.424,0.4515,1.0009
Premier League,2024/25,LightGBM,209,50.98,58.7,25.3,59.7,0.4773,0.4789,0.9969
Premier League,2024/25,Hybrid (LightGBM-Elo),206,50.24,59.3,21.2,59.7,0.4642,0.4674,0.9947
Premier League,2024/25,Hybrid (XGBoost-Elo),205,50.0,59.9,28.3,53.5,0.4749,0.4721,0.9989
Premier League,2024/25,XGBoost,202,49.27,57.5,30.3,52.8,0.4722,0.4686,1.0016
Premier League,2024/25,Hybrid (HistGBM-Elo),200,48.78,61.7,22.2,52.1,0.4513,0.4533,1.0182
Premier League,2024/25,HistGBM,197,48.05,58.1,25.3,52.1,0.4511,0.4514,1.0662
La Liga,2022/23,Stacked (RFMeta),73,57.03,78.8,8.6,66.7,0.4653,0.5134,0.931
La Liga,2022/23,Stacked (CatMeta),69,53.91,74.2,14.3,55.6,0.4541,0.4803,0.942
La Liga,2022/23,Stacked (XGBMeta),69,53.91,77.3,8.6,55.6,0.4381,0.4713,0.991
La Liga,2022/23,Stacked (MLPMeta),66,51.56,63.6,20.0,63.0,0.4612,0.4887,0.9595
La Liga,2022/23,XGBoost,66,51.56,48.5,45.7,66.7,0.508,0.5362,1.007
La Liga,2022/23,Hybrid (XGBoost-Elo),66,51.56,48.5,45.7,66.7,0.508,0.5362,1.0062
La Liga,2022/23,CatBoost,65,50.78,60.6,42.9,37.0,0.4713,0.4683,0.959
La Liga,2022/23,Random Forest,65,50.78,56.1,31.4,63.0,0.4766,0.5015,0.9853
La Liga,2022/23,Linear SVM,65,50.78,72.7,2.9,59.3,0.3882,0.4495,0.9762
La Liga,2022/23,Hybrid (CatBoost-Elo),65,50.78,60.6,42.9,37.0,0.4713,0.4683,0.959
La Liga,2022/23,Hybrid (Linear SVM-Elo),65,50.78,74.2,0.0,59.3,0.375,0.445,0.9758
La Liga,2022/23,Hybrid (Random Forest-Elo),65,50.78,56.1,31.4,63.0,0.4766,0.5015,0.9849
La Liga,2022/23,Hybrid (LightGBM-Elo),64,50.0,51.5,31.4,70.4,0.4777,0.511,1.0078
La Liga,2022/23,Hybrid (MLP-Elo),63,49.22,48.5,48.6,51.9,0.4769,0.4964,1.0461
La Liga,2022/23,LightGBM,63,49.22,50.0,31.4,70.4,0.472,0.506,1.0084
La Liga,2022/23,Logistic Regression,61,47.66,50.0,34.3,59.3,0.4555,0.4785,1.0447
La Liga,2022/23,HistGBM,61,47.66,53.0,31.4,55.6,0.4487,0.4667,1.0683
